1
1
0
2
2
0
1
2
1
0
1
2
1
0
3
0
2
3
2
1
1
0
1
2
2
3
2
1
2
1
2
1
2
0
2
2
1
2
1
2
1
2
2
2
1
2
3
1
0
2
0
4
4
2
0
3
2
0
4
3
