51.27,45.75,48.08,50.03,42.68,41.25,38.75,37.63,33.07,35.27,34.88,40.40,41.12,35.45,30.48,23.02,27.08,33.63,42.17,29.05,22.00,16.30,21.83,34.75
37.77,27.80,31.63,36.52,24.73,23.30,23.97,22.92,15.12,20.13,26.05,34.27,27.78,19.88,10.68,19.20,27.18,33.43,28.82,15.70,5.27,17.08,24.25,37.30
22.15,18.05,13.08,20.33,20.10,16.50,12.05,21.77,22.72,20.25,20.15,27.73,38.37,33.58,23.43,24.10,22.27,30.45,42.12,34.55,26.10,31.58,27.38,35.87
28.38,29.53,24.05,27.15,27.65,17.52,11.87,30.98,20.30,12.43,6.63,15.67,41.05,32.02,21.65,12.62,11.77,19.93,44.63,31.52,24.32,21.07,16.87,27.73
14.77,16.83,12.50,12.05,18.88,20.30,14.70,20.53,22.97,20.52,19.83,21.78,37.13,32.37,23.68,24.93,20.50,23.70,40.88,33.65,26.35,29.82,25.60,27.52
30.45,15.63,20.67,26.43,12.60,9.57,20.70,21.00,18.87,17.62,23.53,32.57,37.60,29.95,19.58,24.63,27.57,35.73,41.35,30.72,22.25,34.05,32.67,41.20
18.53,21.48,17.15,17.77,23.55,24.95,20.38,25.20,31.57,29.12,28.45,33.58,41.80,37.03,32.28,33.53,29.12,35.50,45.55,38.32,34.95,38.43,34.22,39.32
23.80,22.12,17.15,21.85,24.18,16.35,11.45,25.83,22.57,20.12,19.57,27.13,42.43,33.65,23.28,23.95,21.67,29.83,46.18,34.42,25.95,30.98,26.78,35.33
31.37,20.58,25.23,30.13,17.20,16.07,17.57,19.38,7.57,12.33,18.25,27.27,29.43,20.40,10.03,18.43,22.17,30.03,34.28,21.17,12.70,24.50,27.53,36.07
27.15,28.18,22.75,25.92,26.25,16.23,10.57,28.45,17.77,9.92,9.07,18.10,38.75,29.72,19.35,13.02,13.85,21.97,43.58,30.47,22.02,23.17,18.95,29.83
32.57,16.88,22.77,28.53,12.27,21.83,30.07,6.95,13.33,25.35,32.87,40.33,23.55,18.78,20.55,30.25,35.30,43.15,27.30,20.07,22.95,34.73,38.32,46.08
28.88,27.47,24.68,27.65,25.55,16.78,14.50,27.75,17.07,9.20,7.13,16.17,38.05,29.00,18.63,11.62,12.27,20.43,42.88,29.77,21.30,21.57,17.37,28.23
34.53,33.45,31.35,34.15,32.27,27.33,22.02,30.47,23.38,18.57,18.15,23.73,35.58,28.17,18.32,6.32,10.70,16.95,36.63,23.52,16.47,13.75,14.15,26.08
35.55,35.82,31.48,31.67,37.88,33.77,25.08,39.53,34.42,28.85,19.82,14.67,46.17,40.48,32.53,20.53,16.08,7.82,47.20,34.08,27.03,23.63,16.33,12.52
36.07,36.33,32.00,32.18,38.38,34.27,25.58,40.03,35.03,32.58,23.62,17.53,50.92,44.93,35.75,25.28,20.83,12.57,51.95,38.83,31.78,28.40,21.08,13.13
28.20,28.28,19.82,27.10,27.37,13.47,10.03,32.22,21.12,17.85,17.85,25.42,41.33,32.28,21.83,22.20,19.95,28.13,46.08,32.97,24.50,29.27,25.07,33.53
16.03,16.62,12.28,10.30,18.68,20.08,14.07,20.33,23.37,20.92,20.23,25.10,36.93,32.17,24.08,25.33,20.92,27.03,40.68,33.45,26.75,30.22,26.02,30.78
32.73,33.88,29.55,31.50,33.93,26.45,20.22,34.05,26.88,20.92,15.48,21.08,38.83,31.75,21.82,9.82,8.05,14.30,39.87,26.75,19.70,16.98,11.50,23.43
33.88,35.02,30.68,32.63,35.08,27.60,21.35,33.47,26.30,20.42,16.63,23.28,39.97,31.17,21.23,9.23,8.50,18.23,41.00,27.88,20.83,18.12,15.12,27.07
32.37,33.52,29.18,31.13,33.57,26.08,19.85,34.55,26.87,19.15,15.12,21.78,40.67,32.23,22.32,10.32,6.23,15.98,41.70,28.58,21.53,18.13,12.87,24.80
49.30,33.62,39.52,45.28,31.45,35.18,35.85,18.65,25.05,32.03,37.60,44.27,21.05,16.47,22.35,30.82,31.10,37.82,12.55,10.93,14.27,26.05,29.63,38.95
46.70,31.02,36.92,42.67,28.85,36.08,36.75,16.05,22.43,32.93,38.85,46.53,18.10,13.87,19.73,31.98,33.37,40.08,19.13,11.35,16.53,28.32,31.90,41.22
0.10,25.58,21.25,15.70,27.65,28.80,21.62,29.30,29.88,27.43,26.75,32.88,45.90,41.13,30.60,31.85,27.43,35.60,49.65,41.73,33.27,36.73,32.53,39.33
38.18,28.23,32.05,36.95,24.28,23.72,24.40,19.82,14.65,15.70,21.62,30.63,26.55,17.52,7.60,13.20,21.18,27.43,32.42,22.22,13.77,20.77,24.63,36.58
26.25,11.60,11.42,28.07,17.50,19.48,29.00,19.15,25.12,28.85,34.73,39.87,35.75,30.98,29.07,36.42,35.40,41.78,39.50,32.27,31.73,43.53,40.50,45.53
15.68,19.48,15.15,15.23,21.55,22.97,18.38,23.20,29.58,27.12,26.45,31.58,39.80,35.03,30.30,31.53,27.12,33.50,43.55,36.32,32.97,36.43,32.22,37.25
34.63,27.28,29.48,33.40,26.10,20.58,20.65,27.55,17.53,13.45,15.42,21.83,35.92,26.88,16.95,7.33,13.77,21.63,40.37,29.32,21.12,18.53,18.88,30.82
28.68,24.10,20.70,27.45,21.57,14.08,13.43,26.77,15.67,12.40,18.30,25.20,35.88,26.83,16.38,21.55,19.75,27.92,40.63,27.52,19.05,29.07,24.85,33.32
26.10,7.30,16.30,22.07,9.45,15.37,23.60,12.07,18.75,23.70,28.73,33.87,28.67,23.90,23.33,30.68,29.40,35.78,32.42,25.18,26.00,37.80,34.50,39.53
22.67,8.55,12.88,18.65,10.62,11.57,20.17,12.27,18.95,21.30,25.30,30.43,28.87,24.08,23.23,28.28,25.97,32.37,32.62,25.38,25.90,35.28,31.08,36.12
12.75,24.58,20.25,14.22,26.65,28.05,22.47,28.30,30.73,28.27,27.60,30.07,44.90,40.13,31.45,32.68,28.27,32.00,48.65,41.42,34.12,37.58,33.37,35.75
22.83,23.98,18.85,21.73,23.80,12.50,4.65,28.18,17.08,14.63,12.48,20.05,37.30,28.25,17.80,18.83,14.58,22.75,42.05,28.93,20.47,23.90,19.70,28.17
43.38,43.65,39.32,39.50,45.70,41.60,32.90,45.25,40.68,36.92,30.95,24.85,48.75,43.07,38.12,29.40,24.98,20.73,49.78,36.67,29.62,26.22,23.53,12.08
10.80,23.62,19.28,11.02,25.67,27.08,21.60,27.32,30.37,27.90,27.23,29.17,43.93,39.15,31.08,32.32,27.90,31.08,47.68,40.43,33.75,37.22,33.00,34.85
23.02,13.12,14.90,29.17,18.75,22.47,30.70,20.40,26.35,30.68,35.83,40.97,37.00,32.23,30.32,37.67,36.50,42.88,40.75,33.52,32.98,44.78,41.60,46.63
29.13,12.02,19.35,25.12,9.00,15.67,24.95,17.60,17.30,21.63,27.55,35.27,34.20,29.43,21.27,28.62,29.82,37.98,37.95,30.72,23.93,35.73,34.92,42.58
31.63,14.50,21.83,27.60,7.73,17.53,23.83,19.83,16.20,20.52,26.43,34.15,36.43,30.95,20.15,27.50,28.70,36.87,40.18,31.28,22.82,34.62,33.80,42.27
30.77,31.92,27.58,29.53,31.97,24.48,18.25,35.63,25.27,19.00,11.37,16.10,45.38,36.43,25.98,20.63,16.67,15.55,49.53,36.42,28.65,25.97,21.77,27.55
24.52,25.67,21.33,23.28,26.03,18.23,10.13,29.38,19.33,11.72,5.65,14.67,39.45,30.42,20.05,17.40,13.78,20.15,44.28,31.17,22.72,23.08,18.88,29.82
26.37,27.52,23.17,25.12,27.57,20.08,13.85,31.22,20.85,14.58,5.85,16.50,41.05,31.93,21.57,17.02,13.05,20.33,45.82,32.70,24.23,22.37,18.15,29.03
25.03,26.18,22.37,23.80,25.97,15.85,10.20,30.35,19.25,12.67,10.17,17.72,39.38,30.35,19.97,15.77,12.27,20.43,44.22,31.10,22.63,21.58,17.37,28.25
28.70,29.85,25.52,27.47,28.68,21.20,12.53,33.08,21.98,19.53,15.62,13.12,42.10,33.07,22.70,24.10,19.68,19.72,46.93,33.82,25.37,29.00,24.78,24.40
30.85,32.00,27.67,29.62,31.95,23.18,16.47,34.15,23.47,15.60,5.70,12.88,44.45,35.42,25.05,21.30,17.33,18.30,49.28,36.17,27.72,26.63,22.43,29.27
37.08,21.40,27.28,33.05,13.33,25.73,28.07,6.03,9.35,20.95,28.67,37.70,22.65,17.87,17.10,26.27,31.32,39.17,26.40,19.15,19.77,31.57,35.15,44.47
11.53,19.07,14.73,5.47,21.13,22.53,18.02,22.78,26.28,23.83,23.15,29.28,39.38,34.60,27.00,28.25,23.83,32.00,43.13,35.90,29.67,33.13,28.93,35.05
19.77,19.68,15.33,16.90,21.73,21.53,13.60,23.38,22.70,20.25,19.57,25.70,39.98,33.78,23.42,24.67,20.25,28.42,43.73,34.55,26.08,29.55,25.35,35.17
32.23,33.38,29.03,30.98,33.33,24.57,17.83,35.52,24.85,16.98,10.92,8.28,45.82,36.78,26.42,22.67,19.43,14.88,50.67,37.55,29.08,28.75,24.55,25.52
29.50,21.50,16.98,26.63,20.52,8.32,14.07,25.20,15.70,12.42,19.70,26.02,35.82,26.78,16.42,21.57,20.55,28.72,40.67,27.55,19.08,29.87,25.65,34.12
41.38,31.43,35.25,40.15,25.37,26.92,27.58,21.38,16.25,23.77,29.68,37.90,28.17,14.23,12.53,21.77,29.75,36.00,30.33,21.37,13.07,24.87,28.45,37.77
47.68,32.00,37.88,43.65,29.83,36.95,38.40,17.03,23.42,34.58,40.50,48.02,10.85,13.15,20.23,32.50,34.85,41.57,19.58,15.13,18.02,29.82,33.40,42.70
41.73,31.77,35.60,40.50,28.17,27.27,27.93,23.62,18.53,19.02,24.93,33.47,31.42,22.07,11.47,16.52,23.65,29.90,33.58,24.23,13.78,18.17,22.55,36.52
42.23,32.28,36.10,41.00,29.22,27.77,28.43,25.40,19.58,20.80,26.72,35.37,33.20,23.85,13.27,18.30,25.55,31.80,34.88,21.77,11.33,17.93,24.83,37.35
40.63,30.68,34.50,39.40,27.62,26.17,26.85,25.78,17.98,20.37,26.28,34.93,32.23,23.45,12.83,17.87,25.12,31.37,33.28,20.17,9.73,15.68,24.40,35.10
34.18,32.98,31.00,32.95,31.80,26.87,21.67,30.00,22.92,18.10,17.80,23.38,36.58,27.70,17.85,5.85,10.35,16.60,37.62,24.50,17.45,14.73,13.80,25.73
38.38,29.92,34.78,37.13,28.73,23.80,25.25,26.00,18.92,16.80,20.02,26.45,32.73,23.70,13.85,7.63,15.60,21.87,37.25,27.33,19.88,16.53,19.07,31.00
31.33,12.55,21.55,27.32,2.83,20.80,25.67,17.17,15.10,22.35,28.27,35.98,33.77,28.30,22.27,29.37,30.53,38.70,37.52,30.27,24.93,36.72,35.63,44.10
35.00,16.65,25.22,30.97,4.68,19.85,24.72,15.02,12.53,21.38,27.30,35.02,31.62,25.72,20.28,27.87,29.57,37.73,35.37,28.12,22.95,34.75,34.67,43.13
17.18,16.08,11.22,15.37,18.13,19.02,15.00,19.80,25.08,22.63,21.95,27.10,36.40,31.62,25.80,27.05,22.63,29.02,40.15,32.90,28.47,31.93,27.73,32.77
34.43,23.82,28.30,33.20,16.38,19.15,20.65,18.57,6.17,15.33,21.25,30.27,32.12,22.52,12.72,20.85,25.50,33.67,36.95,23.83,15.38,27.18,30.60,39.07
44.50,33.87,39.35,43.27,31.90,29.23,31.37,27.37,22.28,22.77,26.13,32.57,32.65,24.93,15.22,15.82,22.73,28.98,33.68,20.57,10.13,13.40,21.93,32.82
34.70,23.85,28.23,33.47,22.65,16.97,20.90,24.12,14.10,10.95,16.85,24.48,34.58,26.08,15.02,9.47,16.40,23.70,39.35,26.13,17.68,18.63,20.90,32.83
36.62,26.65,30.48,35.37,23.58,22.15,22.82,19.98,13.97,19.00,24.92,33.13,26.72,17.63,7.75,18.05,23.20,29.90,27.93,14.82,6.35,18.15,21.73,31.05
41.78,25.97,32.00,37.75,14.30,26.70,27.07,12.13,6.87,20.48,26.40,35.43,28.73,16.77,14.62,23.77,28.82,36.68,32.48,25.25,17.28,29.08,32.67,41.98
36.98,24.67,30.40,35.75,12.70,22.52,23.18,14.88,2.73,16.60,22.52,31.55,30.98,17.98,10.73,19.90,24.95,32.80,34.73,21.87,13.40,25.20,28.78,38.10
32.07,25.02,25.60,30.82,23.25,14.32,18.27,25.28,13.63,6.58,14.22,22.98,35.50,26.47,16.10,12.65,14.92,22.77,40.33,27.22,18.77,23.18,21.33,32.22
34.60,18.92,26.25,32.02,10.82,19.65,20.80,11.40,7.33,15.48,21.40,30.43,28.00,21.50,13.65,21.00,25.65,33.82,31.75,24.52,16.32,28.12,30.75,39.15
39.48,34.95,36.70,38.23,33.10,29.58,26.35,29.48,23.47,20.68,21.12,27.55,34.98,28.08,17.33,9.82,16.43,22.68,36.02,22.90,15.85,13.13,14.77,28.87
40.40,36.70,37.22,39.17,33.65,32.55,27.88,28.58,24.02,23.65,24.08,29.60,32.08,26.40,20.30,12.20,14.80,21.50,33.12,20.00,12.95,10.23,12.82,25.97
28.65,29.80,25.47,27.42,30.18,22.38,14.27,33.52,23.47,19.23,16.55,24.12,43.58,34.55,24.18,23.08,18.67,26.83,48.42,35.30,26.85,27.98,23.77,33.88
33.28,34.93,30.10,32.05,33.73,27.00,20.77,31.93,24.85,20.03,16.88,22.48,35.82,29.63,19.80,7.78,9.45,15.70,36.85,23.73,16.68,13.97,12.90,24.83
25.83,13.02,7.90,24.92,19.13,15.97,25.50,20.78,26.75,25.33,31.58,36.72,37.38,32.62,29.33,34.48,32.25,38.65,41.13,33.90,32.00,41.57,37.35,42.33
32.13,33.28,28.95,30.90,33.33,25.85,19.62,37.72,26.62,19.17,13.78,16.27,45.95,37.22,27.37,15.80,12.75,12.27,46.98,33.87,26.83,23.43,18.15,24.20
24.47,15.58,14.23,20.45,17.63,12.30,21.40,19.30,23.48,21.25,27.12,32.25,35.90,31.12,24.20,29.25,27.78,34.17,39.65,32.40,26.87,37.08,32.88,37.85
36.02,26.05,29.88,34.78,22.10,21.55,22.22,17.57,12.48,17.87,23.78,32.80,24.30,15.27,5.42,14.55,22.53,28.78,29.35,20.05,11.58,22.45,25.98,36.28
33.28,34.43,30.10,32.05,34.48,27.00,20.77,38.13,27.77,21.13,11.30,9.18,46.90,38.85,28.48,18.22,14.02,8.32,47.93,34.82,27.77,24.37,19.10,20.25
30.47,31.62,27.28,29.23,31.67,24.18,17.95,35.32,24.95,18.32,8.48,10.95,45.07,36.03,25.67,17.12,13.92,10.33,48.12,35.00,27.95,24.55,19.13,22.27
38.50,28.53,32.37,37.27,25.48,24.03,24.70,21.87,15.85,20.88,26.80,35.02,28.05,18.68,9.65,19.93,25.25,31.95,30.22,16.87,8.40,20.17,23.78,33.10
41.02,31.05,34.88,39.78,28.00,26.55,27.22,24.97,18.37,23.40,29.32,37.53,27.27,17.92,14.47,22.47,24.75,31.47,29.43,16.25,7.92,19.42,23.30,32.60
37.45,27.48,31.32,36.22,24.43,22.98,23.65,22.60,14.80,19.83,25.75,33.97,27.48,19.57,10.38,18.90,25.40,32.12,28.52,15.40,4.97,16.77,23.95,33.25
40.90,30.93,34.77,39.67,27.88,26.43,27.10,26.12,18.25,23.25,29.17,37.82,29.65,20.30,14.25,20.75,25.58,32.30,30.65,17.53,7.10,14.02,22.93,33.43
37.65,21.97,27.87,33.62,19.80,26.92,32.10,7.00,11.77,25.65,31.57,40.58,18.23,13.47,15.25,27.50,33.98,41.43,21.98,14.75,17.63,29.42,33.00,42.32
31.98,34.00,28.78,30.73,32.82,24.87,19.45,34.28,24.23,15.87,15.58,22.73,40.65,31.62,21.77,10.20,11.32,18.80,41.90,28.78,21.73,19.02,17.75,28.62
40.90,30.93,34.77,39.67,27.88,26.43,27.10,24.27,18.25,23.28,29.20,37.42,30.58,21.23,12.05,22.33,29.07,35.78,32.75,20.68,10.80,21.18,27.60,36.92
44.78,45.05,40.72,40.90,47.58,40.10,33.87,43.77,39.20,35.42,30.00,26.25,47.25,41.58,36.62,27.92,23.50,22.13,48.28,35.17,28.13,24.73,22.05,13.48
53.97,39.42,45.32,51.07,37.25,39.50,40.17,24.45,30.40,36.35,42.27,49.60,15.58,20.32,25.12,35.42,36.43,43.15,10.75,16.72,19.60,31.40,34.98,44.28
27.60,18.40,13.92,23.57,18.93,5.22,13.17,22.10,16.28,13.00,20.28,26.60,36.40,27.37,17.00,22.15,21.13,29.30,41.25,28.13,19.67,30.45,26.25,34.63
14.17,23.08,18.75,17.32,25.15,26.55,21.98,26.80,33.17,30.72,30.03,35.18,43.40,38.62,33.88,35.13,30.72,37.10,47.15,39.92,36.55,40.02,35.82,40.78
54.10,39.62,45.50,51.27,37.45,39.63,40.30,24.65,31.03,36.48,42.05,48.72,28.13,22.45,28.33,35.27,35.55,42.27,11.87,16.25,18.70,30.50,34.08,43.40
45.48,31.82,37.72,43.47,29.65,31.02,31.68,16.85,22.83,27.87,33.43,40.10,20.33,14.67,20.53,26.65,26.93,33.65,21.37,15.88,10.10,21.88,25.47,34.78
36.23,25.27,30.10,35.00,21.33,20.83,22.43,22.15,11.70,11.60,17.52,26.53,28.87,20.38,10.00,10.75,18.73,24.98,34.73,23.42,14.95,20.93,22.18,34.12
26.93,28.08,23.75,25.70,26.87,18.10,13.82,29.07,18.38,10.53,8.45,15.00,39.37,30.33,19.97,9.90,12.27,18.85,44.20,31.08,22.63,21.10,18.68,28.92
34.38,34.28,31.18,33.13,33.10,26.95,21.87,31.30,24.22,17.97,17.98,24.65,37.88,29.00,19.15,7.15,10.87,17.90,38.92,25.80,18.75,16.03,15.10,27.05
20.75,20.65,16.32,18.82,22.72,20.15,12.22,24.37,23.50,21.05,20.38,26.50,40.97,34.60,24.22,25.47,21.05,29.22,44.72,35.35,26.88,30.35,26.15,36.07
46.55,35.48,40.42,45.32,32.12,32.08,32.75,20.50,22.98,28.93,34.85,43.07,22.25,12.90,17.70,28.00,30.05,36.75,24.42,6.17,13.20,24.72,28.58,37.90
60.27,47.03,52.93,58.70,44.88,45.80,46.48,32.07,37.62,42.65,48.22,54.88,32.85,29.88,35.60,41.43,41.72,48.43,20.62,25.00,24.88,36.68,40.27,49.57
39.95,33.28,37.18,38.72,31.42,28.63,26.83,27.23,21.78,21.17,21.60,28.02,35.03,25.68,15.08,11.28,18.20,24.45,37.20,24.52,17.12,13.73,16.88,30.85
35.37,24.15,29.23,34.13,22.97,17.95,21.57,24.43,14.42,11.93,17.85,26.87,34.73,25.68,15.32,15.35,20.35,28.22,39.57,26.45,17.98,26.02,26.77,37.65
34.32,25.23,27.85,33.08,24.05,16.62,20.52,25.52,15.50,7.95,13.87,22.90,35.80,26.77,16.40,14.80,19.00,27.17,40.65,27.53,19.07,25.48,24.10,34.97
30.80,21.10,24.67,29.55,19.92,15.15,17.00,21.37,11.37,10.85,16.77,25.80,31.67,22.63,12.27,18.12,21.90,29.95,36.52,23.40,14.93,26.98,27.00,33.95
33.63,22.82,27.50,32.38,17.77,18.50,19.83,19.95,8.13,9.15,15.07,24.08,29.77,20.97,10.60,13.85,17.82,25.68,34.85,21.73,13.27,22.72,24.25,36.20
42.63,37.15,39.87,41.40,35.28,32.50,29.50,31.45,25.65,23.83,24.27,30.70,36.10,29.78,19.53,13.95,20.87,27.12,37.13,24.02,16.10,13.23,19.55,32.65
31.87,32.40,28.68,30.63,31.00,23.12,19.35,32.68,22.48,14.12,14.72,21.78,41.20,31.93,22.32,10.75,13.12,20.98,45.87,32.75,25.70,21.97,19.55,31.52
30.10,31.25,26.92,28.87,31.30,23.82,17.58,34.97,24.58,17.73,13.72,20.37,40.70,35.02,25.80,13.80,6.68,14.30,41.73,28.62,21.57,18.17,13.77,24.82
42.97,32.33,37.38,41.72,29.93,27.70,29.83,25.17,20.30,20.80,24.60,31.03,31.90,22.85,13.25,14.28,21.20,27.45,34.15,21.03,10.58,13.87,20.40,33.28
26.78,16.65,5.50,22.75,18.70,13.80,23.32,20.37,26.45,23.17,29.42,34.55,36.97,32.18,27.17,32.32,30.08,36.47,40.72,33.47,29.83,39.40,35.18,38.75
36.70,21.02,26.90,32.67,10.03,24.47,28.92,11.13,9.92,21.78,29.52,38.53,27.73,23.10,17.67,26.82,31.87,39.73,31.48,24.23,20.33,32.13,35.72,45.03
36.50,20.82,26.72,32.47,9.63,23.12,27.53,10.93,8.40,20.42,27.93,36.97,27.53,21.58,16.15,25.30,30.35,38.22,31.28,24.05,18.82,30.62,34.20,43.52
28.38,29.53,24.65,27.15,27.75,18.13,11.80,30.08,19.42,11.55,10.22,19.25,40.92,31.88,21.75,16.03,15.35,23.52,46.00,32.88,24.42,24.67,20.45,30.02
39.23,40.38,36.05,38.00,40.45,32.97,26.72,38.87,33.73,28.27,22.85,29.52,42.35,36.68,31.72,20.77,16.35,23.07,43.38,30.27,23.22,17.98,8.37,17.92
41.83,31.62,35.70,40.60,19.67,27.37,28.03,17.05,10.53,23.28,29.72,38.35,26.53,13.47,11.58,20.50,28.47,34.72,31.60,24.93,17.75,29.68,31.92,42.43
38.87,27.65,32.73,37.62,23.53,23.02,25.07,24.98,13.90,13.80,19.72,28.75,31.80,22.68,13.18,12.92,20.90,27.15,36.85,26.62,18.15,23.55,24.35,36.30
39.62,29.77,36.40,38.38,27.92,25.13,26.48,23.97,18.28,18.18,21.25,27.68,30.77,21.73,12.17,10.93,17.87,24.12,35.67,25.08,17.55,14.20,17.35,31.33
36.30,35.23,33.10,35.05,34.05,29.10,23.77,29.63,24.80,20.35,19.90,25.48,33.12,27.43,18.67,8.10,12.45,18.72,34.15,21.03,13.98,11.27,13.20,27.00
32.25,30.45,28.18,31.00,29.05,21.17,19.12,30.73,20.53,12.17,13.88,20.32,39.12,30.08,20.60,9.03,11.38,19.25,44.13,31.02,23.97,20.23,17.82,29.78
37.25,26.03,31.12,36.02,22.10,21.97,23.47,24.28,12.47,12.37,18.28,27.30,34.53,25.50,14.93,17.77,21.93,29.78,39.18,26.07,17.60,26.63,28.52,40.32
22.35,23.50,19.17,21.12,23.63,15.83,5.35,27.22,16.92,14.47,14.60,20.45,37.23,28.18,17.63,18.65,16.70,24.87,41.88,28.77,20.30,26.02,21.80,26.32
36.28,27.30,32.38,35.03,26.10,21.70,23.15,25.32,16.47,14.70,17.92,24.35,32.02,23.00,13.52,5.53,13.50,19.77,36.92,27.00,19.55,16.20,16.97,28.90
43.93,33.97,37.80,42.68,29.48,29.47,30.13,21.95,20.37,26.32,32.23,40.45,23.68,14.33,15.07,25.37,29.47,36.17,25.87,15.98,12.62,24.13,28.00,37.32
42.52,30.18,36.08,41.28,23.90,28.05,28.72,15.22,14.77,24.90,30.82,39.03,23.45,7.42,10.55,22.82,30.48,36.73,27.25,19.20,14.85,26.65,30.23,39.55
44.27,34.30,38.13,43.03,23.87,29.80,30.47,19.58,14.75,26.65,32.57,40.78,22.15,9.10,13.03,24.02,29.00,35.72,24.32,15.52,12.17,23.67,27.53,36.85
42.85,27.15,33.05,38.82,17.85,28.38,29.05,12.18,8.72,22.60,28.52,37.53,24.27,11.20,11.88,21.70,29.68,35.93,29.33,22.67,16.18,27.98,31.57,40.88
9.30,23.80,19.47,12.85,25.87,27.28,22.70,27.52,33.82,31.37,30.68,32.90,44.12,39.35,34.53,35.77,31.35,34.82,47.87,40.63,37.20,40.67,36.45,38.50
31.77,32.92,28.58,30.53,32.97,25.48,19.25,34.52,26.25,20.80,15.37,20.98,38.00,32.33,24.35,12.35,7.93,14.20,39.05,25.93,18.88,15.48,8.18,19.05
35.35,36.50,32.17,34.12,36.55,29.07,22.83,39.48,29.83,24.38,18.95,19.13,43.78,37.18,27.72,15.72,11.52,12.35,44.82,31.70,24.65,21.25,13.95,18.95
40.67,30.70,34.53,39.42,22.82,26.20,26.87,21.18,13.68,20.87,26.78,35.80,28.55,14.70,9.53,17.55,25.53,31.78,33.60,24.17,15.70,26.73,28.98,40.38
38.23,34.92,35.03,36.98,33.15,28.80,25.15,29.17,23.52,19.50,19.92,26.35,33.80,26.85,17.40,7.78,14.38,20.65,34.83,21.72,14.67,11.95,14.53,27.68
45.12,30.90,36.80,42.57,26.00,30.65,31.32,15.93,16.87,27.50,33.42,41.63,18.20,4.25,13.15,25.42,33.08,39.33,21.98,14.75,17.45,29.25,32.83,42.13
47.13,32.12,38.00,43.77,27.20,32.67,33.33,17.15,18.08,29.52,35.43,43.65,21.38,3.18,15.17,26.92,34.90,41.15,25.17,17.93,19.47,31.27,34.85,44.17
33.18,29.77,30.42,31.95,28.58,23.08,20.05,30.03,20.03,14.40,14.82,21.25,35.98,26.95,17.38,5.82,12.83,20.17,40.92,27.80,20.75,17.02,17.37,29.30
31.08,32.23,27.90,29.85,32.28,24.80,18.57,36.65,25.58,18.10,9.12,9.73,45.57,36.53,26.30,20.95,16.98,15.30,49.85,36.73,28.97,26.30,22.08,22.62
